😀 Grinning face                    1F600
⚓ Anchor                           2693
⛵ Sailboat                         26F5
🛶 Canoe                            1F6F6
🚤 Speedboat                        1F6A4
🛳️ Passenger ship                   1F6F3 FE0F
⛴️ Ferry                             26F4 FE0F
🛥️ Motor boat                       1F6E5 FE0F
🚢 Ship                             1F6A2
✈️ Airplane                         2708 FE0F
🛩️ Small airplane                   1F6E9 FE0F
🛫 Airplane departure               1F6EB
🛬 Airplane arrival                 1F6EC
🪂 Parachute                        1FA82
💺 Seat                             1F4BA
🚁 Helicopter                       1F681
🚟 Suspension railway               1F69F
🚠 Mountain cableway                1F6A0
🚡 Aerial tramway                   1F6A1
🛰️ Satellite                        1F6F0 FE0F
🚀 Rocket                           1F680
🛸 Flying saucer                    1F6F8
🛎️ Bellhop bell                     1F6CE FE0F
🧳 Luggage                          1F9F3
⌛ Hourglass done                   231B
⏳ Hourglass not done               23F3  
⌚ Watch                            231A
⏰ Alarm clock                      23F0
⏱️ Stopwatch                        23F1 FE0F
⏲️ Timer clock                      23F2 FE0F
🕰️ Mantelpiece clock                1F570 FE0F
🕛 Twelve o’clock                   1F55B
🕧 Twelve-thirty                    1F567
🕐 One o’clock                      1F550
🕜 One-thirty                       1F55C
🕑 Two o’clock                      1F551
🕝 Two-thirty                       1F55D
🕒 Three o’clock                    1F552
🕞 Three-thirty                     1F55E
🕓 Four o’clock                     1F553
🕟 Four-thirty                      1F55F
🕔 Five o’clock                     1F554
🕠 Five-thirty                      1F560
🕕 Six o’clock                      1F555
🕡 Six-thirty                       1F561
🕖 Seven o’clock                    1F556
🕢 Seven-thirty                     1F562
🕗 Eight o’clock                    1F557
🕣 Eight-thirty                     1F563
🕘 Nine o’clock                     1F558
🕤 Nine-thirty                      1F564
🕙 Ten o’clock                      1F559
🕥 Ten-thirty                       1F565
🕚 Eleven o’clock                   1F55A
🕦 Eleven-thirty                    1F566
🌑 New moon                         1F311
🌒 Waxing crescent moon             1F312
🌓 First quarter moon               1F313
🌔 Waxing gibbous moon              1F314
🌕 Full moon                        1F315
🌖 Waning gibbous moon              1F316
🌗 Last quarter moon                1F317
🌘 Waning crescent moon             1F318
🌙 Crescent moon                    1F319
